Text,Label,Score,text_cleaned
What day is it #lost,sadness,0.5,day lost
Has anyone noticed that @npr stories in recent days all paint positive accomplishments for Trump and challenges for Hillary? #surprised #sad,sadness,0.5,noticed story recent day paint positive accomplishment trump challenge hillary surprised sad
"@ChibiReviews Post series depression can be quite bad, but it will get better, I bet someone will pick the novel soon in the west.",sadness,0.5,post series depression quite bad better bet pick novel soon west
@iTriborg — make him feel vigorous. 'Fine. You can kill me now.' Said Hestia with a display of only despair rather than her joyful —,sadness,0.5,make feel vigorous fine kill now said hestia display despair joyful
"236:416 While she was in her dull and sleeping hour,\nA crew of patches, rude mechanicals,\n#AMNDBots",sadness,0.5,dull sleeping hourna crew patch rude mechanicalsn amndbots
"The 2nd step to beating #anxiety or #depression is realising that it's not about waiting for ...., Take action yourself now.",sadness,0.495,nd step beating anxiety depression realising not waiting action now
@SimonSSSJ123 @EllieG10853 @Onision @Eugenia_Cooney he sure as hell helped me with my depression and still does,sadness,0.485,sure hell helped depression doe
@jccrocker #CharlotteProtest do u #wait 4 the facts #video or do u #hate now ask questions later  #protest #PoliceShootings #suggestions,sadness,0.479,charlotteprotest u wait fact video u hate ask question later protest policeshootings suggestion
"@Nataliem55 sadly, war has often been the factor that jump starts US economic growth",sadness,0.479,sadly war factor jump start economic growth
@GrimsToyShow grim what the fuck going on with these dame fucking clowns takeing the gameing channel if I had a way to nj I would delete,sadness,0.479,grim fuck going dame fucking clown takeing gameing channel way nj delete
"Leeds surely to drop the prices for that cup tie, rather than the dismal attendance last night..",sadness,0.479,leeds surely drop price cup tie dismal attendance night
@greencapt there's something to note in the fact that the mask manufacturer produced her smiling and him frowning.,sadness,0.479,note fact mask manufacturer produced smiling frowning
The word happiness would lose its meaning if it were not balanced by sadness.,sadness,0.479,word happiness lose meaning not balanced sadness
@TouchPH  The solution is to punish the criminals. That's the only way to discourage crime. or the circle will continue.,sadness,0.479,solution punish criminal way discourage crime circle continue
@KristenWACamera I really enjoyed both episodes. I had a bit of a gloomy day today but I feel a sense of inspiration from listening.,sadness,0.479,really enjoyed episode bit gloomy day today feel sense inspiration listening
"1Pet 4:7  But the end of all things is at hand: be ye therefore #sober, and #watch unto prayer",sadness,0.479,pet end thing hand ye sober watch unto prayer
"@aidanparr haha!! No, sorry was it too grim even for you?! It disturbed me &amp; im starting to lose all trust in Twitter generally!!",sadness,0.479,haha no sorry grim you disturbed amp im starting lose trust twitter generally
"Literally had a guy (a some-would-say-successful guy) tell me 'this ship will sail' kay guy, first, you're working with a sub, last, it sunk",sadness,0.479,literally guy a somewouldsaysuccessful guy tell nothis ship sail kay guy first working sub last sunk
@RaveenElexiis I fought a racist girl and she stayed in GAVC so if you get kicked out I call BS,sadness,0.479,fought racist girl stayed gavc kicked b
How brave are the young individuals that have opened up to us about their #depression and #anxiety to help raise awareness!! @beyondblue,sadness,0.479,brave young individual opened depression anxiety help raise awareness
Just rough situations all around for Schalke and Werder Bremen to start the campaign. Bremen dashed late with a new manager. Both with 0.,sadness,0.479,just rough situation schalke werder bremen start campaign bremen dashed late new manager
"Don't blame yourself,' he spoke, as if she were in the room, kicking the chair beneath him.\n#amwriting #dark",sadness,0.479,not blame yourself spoke room kicking chair beneath himn amwriting dark
"@ActualFlatticus @veggie64_leslie @mtracey Call me a pessimist, but I don't think therapy can fix whatever is wrong with Anthony Weiner.",sadness,0.479,pessimist not think therapy fix wrong anthony weiner
November #canola lost $5.50 to $464.20 per tonne.,sadness,0.479,november canola lost tonne
"@ticcikasie1 With a frown, she let's out a distraught 'Gardevoir' saying that she wishes she had a trainer",sadness,0.479,frown let distraught gardevoir saying wish trainer
Brad Pitt being investigated for child abuse?! this all just got really #dark,sadness,0.479,brad pitt investigated child abuse just got really dark
Bare videos online but does anyone get rehabilitated? Does anyone actually get help for their affliction? Or do we jut get twitter videos.,sadness,0.479,bare video online doe rehabilitated doe actually help affliction jut twitter video
Always do sober what you said you'd do drunk. That will teach you to keep your mouth shut. \n― Ernest Hemingway #quote,sadness,0.479,sober said drunk teach mouth shut n ernest hemingway quote
"[My teeth were sunk down into the vein of the poor woman who had 'accidentally' had a small problem with her engine, just outside of --",sadness,0.479,my teeth sunk vein poor woman accidentally small problem engine just outside
@lebara - worst possible decision I could have made when arriving in the UK. Shocking service. Poor coverage. ,sadness,0.479,worst possible decision arriving uk shocking service poor coverage
lost my 244 day snapchat streak i'm done,sadness,0.477,lost day snapchat streak
@ReserveHinata tend to them he's going to get infections. \n\nHe's frowning and looking down as he does this. \nIt must hurt damn.],sadness,0.475,tend going infection nnhe frowning looking doe this nit hurt damn
@EmotionalLimine you're sadly mistaken if you think I'd make a tweet for an isolated comment by a random twitter user.,sadness,0.469,sadly mistaken think make tweet isolated comment random twitter user
@ATTCares why do I have 2 wait 48 hours to call YOU back to cancel an order I JUST placed after already spending 2 hours on the phone?! ,sadness,0.464,wait hour cancel order just placed spending hour phone
i stopped watching gotham cause they dropped off tabitha and barb's relationship and made her pine after the main,sadness,0.461,stopped watching gotham cause dropped tabitha barb relationship pine main
"@_JuliaSteiner : I liked that she was not moping around in all of the episode. She had a moment of emotional weakness, felt sorry about -",sadness,0.46,liked not moping episode moment emotional weakness felt sorry
@WYSdaily I'm confident they will NEVER experience our successes of last 50yrs. Best they can hope for is to be another Bournemouth ,sadness,0.458,confident experience success yr best hope bournemouth
Never leave me alone with my credit card. Nope nope mope.,sadness,0.458,leave credit card nope nope mope
@SandraTXAS @6bird4 @CajunKangaroo @justanavywife please. Or you could be clouded by your passion. Emotion leads you from the truth.,sadness,0.458,please clouded passion emotion lead truth
The horrible puns for the day have been made. I shall return to my cage in a dark corner by myself while crying &amp; laughing hysterical now.,sadness,0.458,horrible pun day made shall return cage dark corner cry amp laughing hysterical now
"My house isnt always a mess but when it is, its when i have friends coming #mess #serious #twitter #problem #like #friends #filthy #home",sadness,0.458,house isnt mess is friend coming mess twitter problem like friend filthy home
“We can easily #forgive a #child who is #afraid of the #dark; the real #tragedy of #life is when #men are #afraid of the #light.”–Plato,sadness,0.458,easily forgive child afraid dark real tragedy life men afraid lightplato
"@DxfyingGrxvity - that were rather forlorn, scanning the witches house before resting back on Elphie. 'The Grimmerie is gone.'",sadness,0.458,forlorn scanning witch house resting elphie the grimmerie gone
@FacMagnaAmerica  #CureForInsomnia And the left said WE were all doom &amp; gloom. The Trump Train is so much more fun!,sadness,0.458,cureforinsomnia left said doom amp gloom trump train fun
History repeating itself..GAA is our culture how dare anyone think it's ok to discourage any Irish person from attending any match or final,sadness,0.458,history repeating itselfgaa culture dare think ok discourage irish person attending match final
Mayor visits downtrodden part o town in brave PR stunt. More at eleven.,sadness,0.458,mayor visit downtrodden o town brave pr stunt eleven
went to Pet Supplies Plus tonight but @neitzkeamara was not working I feel #lost and #confused,sadness,0.458,went pet supply plus tonight not working feel lost confused
@mik61scot @longshankseddie @ROSAZAMBONINI @YouTube I thought it was because she once sunk her teeth into something that's meant 2b sooked,sadness,0.458,thought sunk teeth meant b sooked
@VivYau is it all doom and gloom? I only want to hear lovely things about airbnb!,sadness,0.458,doom gloom want hear lovely thing airbnb
"@ynnsanity Maybe that's why, we're asked to study hard and get a job that we like. That way it wouldn't be that dreadful.",sadness,0.458,maybe why asked study hard job like way not dreadful
"@Cpt_SRogers_\n'Well it can go one of two ways. You either get over it and accept it, because it's not going to change, or you mope about --",sadness,0.458,nwell way accept it not going change mope
@CarrieLynne2323 totally get it. When you've said no to donuts 13 times one week and lost 0.3 lbs you get discouraged! But it's not linear 😘,sadness,0.458,totally it said donut time week lost lb discouraged not linear
You don't know how to love me when you're sober #sober #selenagomez #revival,sadness,0.458,not know love sober sober selenagomez revival
@SkyNews err I wasnt gloomy.  17.2 mio people were not gloomy only #remain were #Brexit,sadness,0.458,err wasnt gloomy mio people not gloomy remain brexit
"@coalese 😂😂😂. Sure half these stars get together,break up,have affairs,let porn vids slip out,fight,ect etc all to up there ratings. #sad 😂",sadness,0.458,sure half star togetherbreak uphave affairslet porn vids slip outfightect rating sad
Im so serious about putting words in my mouth bitch don't add ' the ' to my sentence if I didn't say that shit on bloods,sadness,0.458,im putting word mouth bitch not add sentence did not say shit blood
@theflabar It's a #foggy and #dark morning here - so #filter this time.  For #lighting purposes. :),sadness,0.458,foggy dark morning filter time lighting purpose
What do you do?'\n'You are not worthy enough to know.' #what #serious,sadness,0.458,donyou not worthy know
"If a friend lost his/her phone, how long do they have to mourn their lost phones before you ask for their earpiece?",sadness,0.458,friend lost hisher phone long mourn lost phone ask earpiece
"@LucidBurrito Doesnt do it to anyone else, he literally pulled me into the office cause someone complained I spit in the sink yesterday",sadness,0.457,doesnt else literally pulled office cause complained spit sink yesterday
Why doesn't anybody I know watch penny dreadful? ☹️️,sadness,0.455,doe not anybody know watch penny dreadful
Am a very old person I can't handle some stuff....lol I just left her there.... Get back to me when you're sober,sadness,0.455,old person handle stufflol just left there sober
@BTS_twt people have so much negativity filled inside them but im always happy that in such a gloomy world someone like u exists Namjoon,sadness,0.45,people negativity filled inside im happy gloomy world like u exists namjoon
. @UNFCCC @uncclearn The problem is the time it has taken to do this means its going to be out of date already. #sadly,sadness,0.445,problem time taken mean going date already sadly
"Trying to think positive, and not let this situation discourage me ✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨✨",sadness,0.44,trying think positive not let situation discourage
Candice on great british bake off with that pout does my head in 👊🏻🙄,sadness,0.438,candice great british bake pout doe head
@BBCSport too dull for the UK.,sadness,0.438,dull uk
@LazyBoiSam blues... blues? 🤔,sadness,0.438,blue blue
Sometimes I think the British political landscape is desolate and then I look over at the foaming wasteland of the US and think we're OK,sadness,0.438,think british political landscape desolate look foaming wasteland think ok
"@kikibug13 Don't look. You'll only be very, very unhappy. \n\n(NNGH. I got the email notif THANK YOU.)",sadness,0.438,not look very unhappy nngh got email notif thank you
Positive thoughts on these gloom cloudy days,sadness,0.438,positive thought gloom cloudy day
When you're on a train as its pitch black outside and you have no idea where you are... #travel #whereami #lost #adventure,sadness,0.438,train pitch black outside idea are travel whereami lost adventure
"@Ren102e906 Just do what you can, don't get discouraged, maybe some prayers for divine intervention to help you would help :)",sadness,0.438,just can not discouraged maybe prayer divine intervention help help
"@Janet_Reid Wonderful post! Novelists shouldn't be discouraged by rejection, but they usually are because their work is so personal.",sadness,0.438,wonderful post novelist not discouraged rejection usually work personal
Cheap pout my brodcast,sadness,0.438,cheap pout brodcast
"So I tried to give her time to sober up, while waiting at the our friend's house. 2 hours later, gal wake up out her nap to vomit again.",sadness,0.438,tried time sober up waiting friend house hour later gal wake nap vomit again
@alisontis otherwise you're committing a crime against your soul only sober ppl know what is good or bad for themselves,sadness,0.438,committing crime soul sober ppl know good bad
@rickygervais my first time in Slough so checked out the new station floor #sad #LifeOnTheRoad,sadness,0.438,time slough checked new station floor sad lifeontheroad
"Niggas murking in each other. In murky water, I try to swim.",sadness,0.438,nigga murking other murky water try swim
@talkRobyn oh dear I have to watch this the woman with the pout did well,sadness,0.438,oh dear watch woman pout did
As I lost my heart to you there in the dark.. Underneath the stars 🎧,sadness,0.438,lost heart dark underneath star
$FOGO max pessimism here and no bottom (yet).  Has a solid PE ratio for a restaurant.  Let's catch it at 8 level or 10 level if it comes.,sadness,0.438,fogo max pessimism yet solid pe ratio restaurant let catch level level come
@ThatWhiteSoxFan @tbtrill not as sad as the White Sox playing record ;),sadness,0.438,not sad white sox playing record
@BeeTuppy We're sorry to hear about the issues and how this is making you feel. We don't like to hear our customers being unhappy :-( We,sadness,0.438,sorry hear issue making feel not like hear customer unhappy
and naoto nod she also like tha bands. but she also frown. 'Will the bands 'Papa Roach' be at concert...?',sadness,0.438,naoto nod like tha band frown will band papa roach concert
@delhi_lawyer @BhagwanUvach @ShivAroor sad . This is not film story. Who knows could be ploy to escalate tension. Unverified report no hype,sadness,0.438,sad not film story know ploy escalate tension unverified report hype
@Samkingftw nahh thats grim,sadness,0.438,nahh thats grim
"It's my last week at CN! I'm gonna be sad to leave, but this will also be my first planned break since going into animation!",sadness,0.438,week cn gonna sad leave planned break going animation
"@AdamAaronovich Well, there's no need to sulk. You can always request a song, you know.",sadness,0.438,well need sulk request song know
"@BonesARP 'That is a disappointment.'\n\nHe fakes a pout, then starts to chuckle.",sadness,0.438,that disappointmentnnhe fake pout start chuckle
Shoutout to the drunk man on the bus who pissed in a bottle and on the seats ,sadness,0.436,shoutout drunk man bus pissed bottle seat
"LORD MAKE ME AN INSTRUMENT OF YOUR PEACE — Where there's hate, let me sow love — Where there's injury, pardon — Where there's despair, hope",sadness,0.4270000000000001,lord make instrument peace hate let sow love injury pardon despair hope
"@VileBairn Turning then, the older woman looked at Sybil with a most somber expression. \n\n“She ran away from me. But I cannot blame her.”",sadness,0.426,turning then older woman looked sybil somber expression nnshe ran away me blame her
An hour played and @ASFCofficial have conceded less at West ham than @ManUtd have at northampton.  Let that sink in.,sadness,0.42,hour played conceded west ham northampton let sink in
some people leave toilets in fucking grim states,sadness,0.42,people leave toilet fucking grim state
@jeremycorbyn @magstogether my god is @jeremycorbyn a full shilling? Seriously you need a major rethink or no lab gove in your lifetime ,sadness,0.417,god shilling seriously need major rethink lab gove lifetime
NL's top bureaucrat is a director of a group formed to oppose NL's top megaproject. #nlpoli - never dull,sadness,0.417,nl bureaucrat director group formed oppose nl megaproject nlpoli dull
@jwonder81 @MacadamionNut well of course.Progress for the sake of progress must be discouraged. The problem is the substance of the rhetoric,sadness,0.417,courseprogress sake progress discouraged problem substance rhetoric
Already plotting next steps if I get cut off by the same minivan in tomorrow's drop-off line. #preschoolpolitics #momthings #serious,sadness,0.417,plotting step cut minivan tomorrow dropoff line preschoolpolitics momthings
The Sunderland time line is quite funny with all the doom &amp; gloom in facing us and the long trip to us midweek. #whatgoesaroundcomesaround,sadness,0.417,sunderland time line quite funny doom amp gloom facing long trip midweek whatgoesaroundcomesaround
"@Gsmsbooksrus @goodreads 'so shines a good deed in a weary world' Roald Dahl, Charlie and the Chocolate Factory",sadness,0.417,iso shine good deed weary world roald dahl charlie chocolate factory
"Like keep grinding boy your life can change in one year, and even when it's dark out the sun is shining somewhere...'",sadness,0.417,like grinding boy life change year dark sun shining somewhere
"@EllenMellon_88 Got #mybrokenfoot running Great North Run, can't wait to run again in a few months time - be mostly dark then! #ukrunchat",sadness,0.417,got mybrokenfoot running great north run wait run month time dark then ukrunchat
Awareness of time is awareness of time lost. #awareness #time ,sadness,0.417,awareness time awareness time lost awareness time
the ending of how I met your mother is dreadful,sadness,0.417,ending met mother dreadful
"@JoyceCarolOates \nBreath. You are trending despondent. Mrs Clinton will win. If you keep your gloves on, guard up, and punch like hell.",sadness,0.417,nbreath trending despondent mr clinton win glove on guard up punch like hell
@A_RockasThe U.S. has added years to the Syrian conflict by arming the 'rebel' army. You would think that Iraq had sunk in with Kerry.,sadness,0.417,u added year syrian conflict arming arebel army think iraq sunk kerry
"When we are weak &amp; in despair, our Mighty God is near;He will give us strength &amp; joy &amp; hope, &amp; calm our inner fear, just have faith &amp; trust.",sadness,0.417,weak amp despair mighty god nearhe strength amp joy amp hope amp calm inner fear just faith amp trust
Been working in Blanchardstown shopping centre for over 2 years now and I only figured out today where Marks &amp; Spencer's is #lost,sadness,0.417,working blanchardstown shopping centre year figured today mark amp spencer lost
#vinb I'm alot more interested in hearing bout differences between parties political ideologies. Parties murky origins r irrefutable #vinb,sadness,0.417,vinb alot interested hearing bout difference party political ideology party murky origin r irrefutable vinb
Higginbotham's flippant dismissal of any worries around Carrick's lack of pace is dismal. Against nimble midfielders Carrick will be exposed,sadness,0.417,higginbotham flippant dismissal worry carrick lack pace dismal nimble midfielders carrick exposed
Flight 815 crashed on The Lost Island 2004 #lost @JoshuaJThurston,sadness,0.417,flight crashed lost island lost
@littlebakaa @AlcohoIPorn give me a smiling emoticon will ya? i dont like the idea of you frowning &gt;.&lt;,sadness,0.417,smiling emoticon ya dont like idea frowning gtlt
"The man who is a pessimist before 48 knows too much; if he is an optimist after it, he knows too little.'\n-Mark Twain",sadness,0.417,man pessimist know much optimist it know littlenmark twain
@DaltonRapattoni sadly i have to go to bed now don't announce anything while i'm gone thank u i love you,sadness,0.417,sadly bed not announce gone thank u love
@MSNBC @fox @cnn @realDonaldTrump @HillaryClinton. Using fear to state his views. Not getting the facts before making a serious statement???,sadness,0.417,using fear state view not getting fact making statement
Marcos rojo plays for man united !!  Just let that sink in !!!,sadness,0.417,marcos rojo play man united just let sink
"Sometimes people leave you halfway through the wood. Do not let it grieve you, no one leaves for good. #youarenotalone #nooneisalone",sadness,0.417,people leave halfway wood not let grieve you leaf good youarenotalone nooneisalone
i lost my wallet lol.... again....,sadness,0.417,lost wallet lol again
"What's a Kali's kitten? [She asked, a frown curling on her fair skinned forehead as he showed her the scar] A cat did - (@ScarredTiger)",sadness,0.417,kali kitten she asked frown curling fair skinned forehead showed scar cat did
@ksmitely @CitizenMeh I feel strongly that we need to work together to right this dreadful wrong.,sadness,0.415,feel strongly need work right dreadful wrong
@raylewis name change Uncle Remus Lewis #foh #theydontlikeyoueither  #unwoke,sadness,0.414,change uncle remus lewis foh theydontlikeyoueither unwoke
Sister: (Canadian player does something shady.) Jonathan Toews is frowning and he doesn't know why. #WorldCupOfHockey,sadness,0.404,sister canadian player doe shady jonathan toews frowning doe not know why worldcupofhockey
Candice's pout gets more preposterous by the week. This week it's gone a bit Jack Nicholson's Joker. #GBBO,sadness,0.397,candice pout get preposterous week week gone bit jack nicholson joker gbbo
@MHChat #mhchat Childhood experiences inform adult relationships. We have associative memories Not a question of ability to process ,sadness,0.397,mhchat childhood experience inform adult relationship associative memory not question ability process
@TehShockwave turn that grumpy frown upside-down\n\nYou did something next to impossible today,sadness,0.396,turn grumpy frown upsidedownnyou did impossible today
I have serious problems with the expectation that private philanthropy should replace functional government services...this is dangerous,sadness,0.396,problem expectation private philanthropy replace functional government servicesthis dangerous
@LidlUK Just bought a pack of two medallion beef steaks. Got home. Cooked them. One steak is 100% pork. I had one unhappy mother. 🐮🐷,sadness,0.396,just bought pack medallion beef steak got home cooked them steak pork unhappy mother
"Hopefully next time we play a L1 team, 1 of the players scores, takes his shirt off &amp;jumps into away end purely to wind up the joyless cunts",sadness,0.396,hopefully time play l team player score take shirt ampjumps away end purely wind joyless cunt
Life's too short to be frowning for so long,sadness,0.396,life short frowning long
A Leopard never changes its spots! #lost,sadness,0.396,leopard change spot lost
In need of a serious nap rn,sadness,0.396,need nap rn
"Sky news still pushing the Brexit gloom line, managing to ignore the fact it's simply not happening. 'But in the future.....'",sadness,0.396,sky news pushing brexit gloom line managing ignore fact simply not happening but future
@DrSRSheikh: And who asked you to gate crash with your dumb idiosyncrasies when sober people are analyzing a situation!\n@BanoBee @AK_Forty7,sadness,0.396,asked gate crash dumb idiosyncrasy sober people analyzing situationn
"A pessimist is someone who, when opportunity knocks, complains about the noise.",sadness,0.396,pessimist who opportunity knock complains noise
@lee_family5 @USAneedsTRUMP @HillaryClinton @realDonaldTrump You can't be serious. This man practices no religion. Only in church campaignin,sadness,0.396,serious man practice religion church campaignin
"@JohnWildy71 something, too confused to type an entire word 😜 See, I can laugh again. My hour of sadness has almost passed",sadness,0.396,something confused type entire word see laugh again hour sadness passed
@jenhasonen it is supposed to be #dark and #gritty though,sadness,0.396,supposed dark gritty
"This pretentious dick in Night Gallery just fucking, used a towel to dry off his sink",sadness,0.396,pretentious dick night gallery just fucking used towel dry sink
"That's me for the evening, though! Way too lit to finish these off properly without causing some serious mischief.",sadness,0.396,evening though way lit finish properly causing mischief
"Interview preparation, I hate talking about myself, one dull subject matter! #yawnoff",sadness,0.396,interview preparation hate talking myself dull subject matter yawnoff
@duncantrussell does Remo Williams ever actually 'save' anyone or does he just sulk around killing random undesirables ?,sadness,0.396,doe remo williams actually isave doe just sulk killing random undesirable
@JoaquinPutoAmo vas a ir al de the amaity affliction?,sadness,0.396,va ir al amaity affliction
@Fatumoriginal there's no sitcom better! If u can't laugh at Sheldon or Leonard then u are sober for real! No two ways about it,sadness,0.396,sitcom better u laugh sheldon leonard u sober real way
“The immense importance of football is sometimes scary. When you don’t win you are responsible for so many unhappy people.” - Arsene Wenger,sadness,0.396,immense importance football scary not win responsible unhappy people arsene wenger
"Kudos to TC for benching Bruce. He isn't helping the team, so he rides pine. We have games to win. Discussion over. #Mets",sadness,0.396,kudos tc benching bruce not helping team ride pine game win discussion over mets
"People want me to go pine ridge, little wound or Oelrichs. Starting to think about transferring but I wanna stay at cloud. Decisions man.",sadness,0.396,people want pine ridge little wound oelrichs starting think transferring wanna stay cloud decision man
Cam cannot be serious with that IG post and that stupid ass font he uses. Would've been better to just say nothing.,sadness,0.396,cam ig post stupid as font us better just say nothing
@VosachResrus ^'ll just #wobble carry you #sink,sadness,0.396,just wobble carry sink
No episode today! Whilst editing there was a power outage! We will rebuild...tomorrow #podcast #lost #editing #fail #tomorrow,sadness,0.396,episode today whilst editing power outage rebuildtomorrow podcast lost editing fail tomorrow
@10carley what a sulky pants!,sadness,0.396,sulky pant
Seeing something that hurt so much in the past in front of me now and not a single sign of grieve. Magicalllll.  ✨,sadness,0.396,seeing hurt past not single sign grieve magicall
"I'm done with your piano, blues playing, smooth talking ass. On to the nexttt",sadness,0.381,piano blue playing smooth talking as nextt
were sat in my sat room cloved watchin Manchester Unide @ManUtd v Norffampton do you fink but @WayneRooney is still goal fret at iced level,sadness,0.375,sat sat room cloved watchin manchester unide v norffampton fink goal fret iced level
"It is a solemn thing, and no small scandal in the Kingdom, to see God’s children starving while seated at the Father’s table. -AW Tozer",sadness,0.375,solemn thing small scandal kingdom god child starving seated father table aw tozer
Hey @AppleSupport - how do I find my play history on new #ios10 #appleMusic #music #lost,sadness,0.375,hey play history new io applemusic music lost
Do not grow weary in doing good. The treadlines are better than deadlines.' @billclinton #CGI2016,sadness,0.375,not grow weary doing good treadlines better deadline cgi
Fellaini has been playing ahead of this guy...just let that sink in,sadness,0.375,fellaini playing ahead guyjust let sink
@SatansLezzie @gehrig38 @joesmith12431 @ejamesl I think he was huffing that pine tar they use for bat gripping.,sadness,0.375,think huffing pine tar use bat gripping
Gonna be a loooooong year as a Browns fan. Longer than normal and that's ,sadness,0.375,gonna loong year brown fan longer normal
@RossKemp great programme tonight  #upsetting #extremeworld,sadness,0.375,great programme tonight upsetting extremeworld
Just told me wife there was a chance it would be 2 Sydney teams in AFL grand final. Her response: 'there's two SYDNEY AFL teams?' #serious,sadness,0.375,just told wife chance sydney team afl grand final response nothere sydney afl team
"@MoneyJay901 hard to tell in your pic. My mistake then. Either way, nothing I said initially was about race. U took it there.  #ignorant",sadness,0.375,hard tell pic mistake then way said initially race u took there ignorant
Floofel.i wonder if your mother knows how dark your humor can be.Needs to realize how much of a butt Apple is. Pastels and cats.cutie pie.,sadness,0.375,floofeli wonder mother know dark humor beneeds realize butt apple is pastel catscutie pie
Damn gud #premiere #LethalWeapon...#funny and #serious,sadness,0.375,damn gud premiere lethalweapon funny
"@sundersays made me laugh, that quote. In a sort of rueful way.",sadness,0.375,laugh quote sort rueful way
"But When it come to a serious situation, I be glad I gave it deep thought 💯",sadness,0.375,come situation glad gave deep thought
All this doom and gloom! We scored from open play again! And only conceded two this time. #progress they means a 1-1 draw on Saturday for me,sadness,0.375,doom gloom scored open play again conceded time progress mean draw saturday
Contactless affliction kart are the needs must regarding the psychological moment!: xbeUJGB,sadness,0.375,contactless affliction kart need regarding psychological moment xbeujgb
"@LBardugo Start w/ the 3 songs in Blue Neighborhood\n1) Wild\n2)Fools\n3)Talk Me down 😭😭for #Wesper\nAlso,\n4)Too Good.  #serious kaz/inej feelz",sadness,0.375,start w song blue neighborhoodn wildnfoolsntalk wespernalsontoo good kazinej feelz
"the grave of a beat, a bravehearted cave lover, cage lover, sage #lover who made #soup of you, twisted to spoony #melancholy, spikes, spices",sadness,0.375,grave beat bravehearted cave lover cage lover sage lover soup you twisted spoony melancholy spike spice
"Like, 'loon attic'. Luckily it quickly sunk in that it was the wrong pronunciation, but I still couldn't stop saying it. It just stuck.",sadness,0.375,like loon attic luckily quickly sunk wrong pronunciation not stop saying it just stuck
"I'm onto you, @Sargon_of_Akkad, I know you secretly pine for a masculine order, objective morality, and disciplined transcendent pursuits.",sadness,0.375,you know secretly pine masculine order objective morality disciplined transcendent pursuit
Some Erykah Badu to sedate me 💕,sadness,0.375,erykah badu sedate
"@MarGraham I am practically obsessed with it, the very thought of their departure makes me feel both melancholic and grateful.  Safe journey",sadness,0.375,practically obsessed it thought departure make feel melancholic grateful safe journey
Don't get discouraged when simple minds don't see your vision,sadness,0.375,not discouraged simple mind not vision
#ThankYouCGI - Do not grow weary in doing good. #CGI2016,sadness,0.375,thankyoucgi not grow weary doing good cgi
@jodikantor @nytimes only if YOU will pay for them and YOU will be responsible for them and their doings. #sober #real #blind,sadness,0.369,pay responsible doings sober real blind
I'm too sober time to get shit faced,sadness,0.36,sober time shit faced
I don't want perfect. It's too boring and dull.,sadness,0.36,not want perfect boring dull
@LacesUntied_ yea lol catchy you fret,sadness,0.358,yea lol catchy fret
@TimewarpArcade @tenpencearcade Do you really have to pedal like a nutter to get anywhere? I remember it being more sedate.,sadness,0.355,really pedal like nutter anywhere remember sedate
"AQW should've always stayed in the 08 art style, now it's just a competition to create more detailed art each time.",sadness,0.354,aqw stayed art style just competition create detailed art time
"Pops are joyless, soulless toys which look nearly identical.  They are the perfect expression of consumerism.  'I enjoy this franchise'",sadness,0.354,pop joyless soulless toy look nearly identical perfect expression consumerism i enjoy franchise
"@DinoHyogi Hakyeon takes all the attention happily, perching on Wonshik's shoulder to sulk when Jaehwan accidentally caused a tiny explosion",sadness,0.354,hakyeon take attention happily perching wonshik shoulder sulk jaehwan accidentally caused tiny explosion
@m_giacchino will this be aired on radio or filmed? Lots of fans over the pond too! #wales #lost,sadness,0.354,aired radio filmed lot fan pond too wale lost
there are #serious #chinks in #India’s #armour'\n#protein\n#malnutrition\n#feedingIndia\n#skillingIndia\n#cognitive #deficit\n@Abhijit_Iyer,sadness,0.354,chink india armourn proteinn malnutritionn feedingindian skillingindian cognitive deficitn
"From what I know of the man, I have to assume that @realDonaldTrump has had a heated argument with his own penis. ",sadness,0.354,know man assume heated argument penis
Standard Candice starting the show with a pout #startasyoumeantogoon #GBBO,sadness,0.354,standard candice starting pout startasyoumeantogoon gbbo
@shopgreenwich #ldf16 what shall we do this weekend?  #spraypainting in #greenwichmarket with @SNUB23 #core246 #lilylou #fret &amp; #benoakley,sadness,0.354,ldf shall weekend spraypainting greenwichmarket core lilylou fret amp benoakley
"@MendipHillsAONB do we think the swallows and swifts have gone? Photo'd 3 nights ago, not seen since.  #Autumn",sadness,0.354,think swallow swift gone photo night ago not seen since autumn
@marielleblaine8 @princesskeilani I told pine I didn't want it so I didn't have to have it,sadness,0.354,told pine did not want did not
Why is it that we rejoice at a birth and grieve at a funeral? It is because we are not the person involved. ― Mark Twain,sadness,0.354,rejoice birth grieve funeral not person involved mark twain
Now they fret about scuffs. I’ll take scuffs (which…come in) for a phone I can use wet handed or drop in a toilet any day.,sadness,0.354,fret scuff scuff whichcome in phone use wet handed drop toilet day
So @JeffProbst those of us born in 85 have no generation! Where is the gen-less tribe! Ha! #survivor #lost soles,sadness,0.354,born generation genless tribe ha survivor lost sol
@MarianKeyes maybe he had constipation issues..? Not that I KNOW dates relieve such an affliction! No way jose!,sadness,0.354,maybe constipation issue not know date relieve affliction way jose
